FIPS_Combined,state,county,slope_reports_per_year,observed_2017_reports,forecast_2020_reports,forecast_threshold,in_sample_mae,in_sample_r2
51840,VA,WINCHESTER CITY,-4.738095,25.0,3.7,routine,29.5327,0.0707
54053,WV,MASON,-1.464286,5.0,3.46,routine,13.1735,0.037
42095,PA,NORTHAMPTON,-34.333333,100.0,3.33,routine,39.6667,0.7216
21207,KY,RUSSELL,-2.142857,14.0,3.32,routine,5.9554,0.334
42065,PA,JEFFERSON,-7.392857,60.0,3.32,routine,17.0446,0.403
51007,VA,AMELIA,-1.130952,9.0,3.02,routine,6.3929,0.0872
21153,KY,MAGOFFIN,-5.178571,28.0,2.71,routine,15.4643,0.2823
54001,WV,BARBOUR,0.115942,2.0,2.49,routine,0.5342,0.1546
21027,KY,BRECKINRIDGE,-0.714286,7.0,2.36,routine,3.0714,0.1786
21045,KY,CASEY,-4.190476,7.0,2.26,routine,8.2976,0.5246
21043,KY,CARTER,-20.178571,78.0,1.96,routine,24.9107,0.7361
21123,KY,LARUE,-0.349315,3.0,1.9,routine,2.1057,0.1086
21087,KY,GREEN,-0.785714,9.0,1.64,routine,3.9821,0.1429
54085,WV,RITCHIE,-0.285714,3.0,1.57,routine,2.8095,0.0218
21085,KY,GRAYSON,-4.202381,12.0,1.56,routine,5.0179,0.7593
21105,KY,HICKMAN,-0.114286,1.0,1.26,routine,0.7238,0.0381
21007,KY,BALLARD,-0.010274,1.0,1.08,routine,0.2436,0.0051
51670,VA,HOPEWELL CITY,-1.773333,3.0,0.97,routine,7.28,0.185
51660,VA,HARRISONBURG CITY,-1.097826,3.0,0.77,routine,5.1398,0.1529
51620,VA,FRANKLIN CITY,-0.908108,1.0,0.7,routine,3.5351,0.155
21219,KY,TODD,-0.464286,2.0,0.32,routine,1.5102,0.1903
54075,WV,POCAHONTAS,-3.190476,13.0,0.26,routine,7.5476,0.3673
21237,KY,WOLFE,-2.547619,13.0,0.19,routine,8.6369,0.3004
42113,PA,SULLIVAN,-0.431159,1.0,0.11,routine,1.3582,0.2819
54027,WV,HAMPSHIRE,-8.571429,9.0,0.0,routine,10.5306,0.6462
54063,WV,MONROE,-2.724638,1.0,0.0,routine,6.9275,0.3927
54061,WV,MONONGALIA,-25.607143,13.0,0.0,routine,35.9286,0.5557
54019,WV,FAYETTE,-5.440476,2.0,0.0,routine,7.6845,0.6343
54079,WV,PUTNAM,-4.940476,1.0,0.0,routine,11.0625,0.4228
54087,WV,ROANE,-1.123288,1.0,0.0,routine,4.7241,0.1311
54059,WV,MINGO,-13.071429,3.0,0.0,routine,25.1786,0.4786
54097,WV,UPSHUR,-13.571429,4.0,0.0,routine,8.7857,0.8951
42017,PA,BUCKS,-191.535714,121.0,0.0,routine,408.7768,0.3478
54007,WV,BRAXTON,-6.690476,5.0,0.0,routine,8.006,0.698
54005,WV,BOONE,-5.488095,6.0,0.0,routine,8.003,0.6357
21229,KY,WASHINGTON,-1.285714,6.0,0.0,routine,4.0,0.3156
21201,KY,ROBERTSON,-1.107143,1.0,0.0,routine,2.5408,0.39
21189,KY,OWSLEY,-4.607143,3.0,0.0,routine,13.2857,0.2501
21175,KY,MORGAN,-4.678571,13.0,0.0,routine,12.5,0.325
21171,KY,MONROE,-1.753425,12.0,0.0,routine,7.092,0.2084
21169,KY,METCALFE,-0.821429,1.0,0.0,routine,0.7857,0.7347
21165,KY,MENIFEE,-2.258197,2.0,0.0,routine,1.8946,0.7956
21161,KY,MASON,-13.309524,43.0,0.0,routine,11.7321,0.8019
21149,KY,MCLEAN,-0.568841,3.0,0.0,routine,1.3271,0.4059
21133,KY,LETCHER,-18.547619,18.0,0.0,routine,23.7679,0.7156
21131,KY,LESLIE,-6.857143,8.0,0.0,routine,5.7321,0.8263
21129,KY,LEE,-8.309524,17.0,0.0,routine,16.1726,0.4526
21115,KY,JOHNSON,-13.285714,37.0,0.0,routine,15.3571,0.7032
21109,KY,JACKSON,-8.25,22.0,0.0,routine,18.0625,0.4171
21063,KY,ELLIOTT,-8.607143,6.0,0.0,routine,14.3304,0.5413
21051,KY,CLAY,-14.083333,4.0,0.0,routine,22.375,0.5737
21025,KY,BREATHITT,-9.392857,11.0,0.0,routine,18.8839,0.4072
21233,KY,WEBSTER,-1.559524,2.0,0.0,routine,2.9851,0.4732
21235,KY,WHITLEY,-39.047619,42.0,0.0,routine,49.7946,0.6398
39041,OH,DELAWARE,-106.035714,223.0,0.0,routine,190.1607,0.5052
51520,VA,BRISTOL,-13.847458,11.0,0.0,routine,33.1921,0.4073
51810,VA,VIRGINIA BEACH CITY,-14.392857,34.0,0.0,routine,64.8214,0.1457
51775,VA,SALEM,-5.864865,19.0,0.0,routine,15.036,0.3654
51760,VA,RICHMOND,-39.821429,116.0,0.0,routine,206.5357,0.1103
51740,VA,PORTSMOUTH CITY,-15.97619,36.0,0.0,routine,63.4881,0.1727
51700,VA,NEWPORT NEWS CITY,-16.738095,32.0,0.0,routine,62.369,0.2214
51683,VA,MANASSAS CITY,-2.321918,1.0,0.0,routine,6.047,0.3539
51630,VA,FREDERICKSBURG CITY,-4.85,10.0,0.0,routine,16.2167,0.1873
51157,VA,RAPPAHANNOCK,-1.988095,7.0,0.0,routine,3.1607,0.6129
39105,OH,MEIGS,-6.607143,12.0,0.0,routine,14.3214,0.5007
51071,VA,GILES,-16.083333,48.0,0.0,routine,15.0625,0.7813
51045,VA,CRAIG,-1.97619,5.0,0.0,routine,4.747,0.3403
51017,VA,BATH,-2.345238,7.0,0.0,routine,3.2798,0.6565
42123,PA,WARREN,-8.357143,6.0,0.0,routine,9.7321,0.6874
42063,PA,INDIANA,-14.964286,59.0,0.0,routine,33.3304,0.4804
42057,PA,FULTON,-3.333333,6.0,0.0,routine,5.9167,0.5477
39115,OH,MORGAN,-3.511905,14.0,0.0,routine,9.2857,0.3598
54109,WV,WYOMING,-1.391304,1.0,0.0,routine,3.1304,0.42
