FIPS_Combined,state,county,slope_reports_per_year,observed_2017_reports,forecast_2020_reports,forecast_threshold,in_sample_mae,in_sample_r2
51121,VA,MONTGOMERY,2.464286,203.0,182.39,high,19.5089,0.0582
51027,VA,BUCHANAN,7.214286,174.0,181.89,high,13.2857,0.491
54081,WV,RALEIGH,-10.142857,53.0,180.82,high,86.2857,0.0426
51061,VA,FAUQUIER,1.72619,138.0,180.1,high,34.4196,0.0106
39021,OH,CHAMPAIGN,13.047619,117.0,179.81,high,29.2738,0.3899
39097,OH,MADISON,1.404762,86.0,164.38,high,36.8512,0.0045
39055,OH,GEAUGA,14.035714,78.0,162.36,high,20.6161,0.6129
39037,OH,DARKE,11.904762,110.0,161.38,high,23.9881,0.4831
39089,OH,LICKING,-33.654762,332.0,160.62,high,94.7887,0.3265
39091,OH,LOGAN,8.833333,144.0,159.67,high,12.75,0.6629
39081,OH,JEFFERSON,8.071429,87.0,156.46,high,20.7232,0.3759
21071,KY,FLOYD,2.464286,148.0,154.89,high,31.7321,0.0238
21073,KY,FRANKLIN,3.559524,113.0,153.26,high,20.9315,0.0911
39071,OH,HIGHLAND,-1.369048,105.0,152.73,high,36.2173,0.0063
51019,VA,BEDFORD,7.845238,137.0,146.12,high,20.4524,0.3228
42039,PA,CRAWFORD,9.440476,81.0,145.49,high,19.4851,0.4276
42005,PA,ARMSTRONG,2.809524,83.0,141.26,high,32.3036,0.0294
51171,VA,SHENANDOAH,-0.404762,131.0,140.62,high,25.8095,0.0009
42027,PA,CENTRE,8.785714,138.0,140.61,high,11.4464,0.6494
21021,KY,BOYLE,10.261905,122.0,138.45,high,14.3036,0.6355
21097,KY,HARRISON,8.559524,61.0,136.76,high,25.5238,0.3043
51770,VA,ROANOKE,-13.202381,201.0,135.31,high,81.506,0.0741
42115,PA,SUSQUEHANNA,12.452381,135.0,129.94,high,18.6458,0.612
21173,KY,MONTGOMERY,-8.52381,148.0,128.85,high,31.1161,0.2051
